profile_id,previous_title,current_title,previous_company,current_company,industry,location,transition_year
71,Data Research Analyst,Business Data Analyst,Indiana University,Magna International,Data Analytics,"Troy, MI",2024
72,Data Analyst,Business Analyst,Community Dreams Foundation,Parla Dynamics Inc,Data Analytics,,2024
73,Data Analyst,Data Research Analyst,US Department of Defense,University of Arizona,Data Analytics,"Tucson, AZ",2023
74,Management Accountant,Data Analyst,Muthaiga Country Club,Sevenett,Data Analytics,,2024
75,Data Analyst,Senior Data Analyst,Artificial Inventions LLC,AIG,Data Analytics,"Dallas, TX",2023
76,,Data Analyst,,Upwork,Data Analytics,,2020
77,Senior Data Analyst,Senior Data Analyst,Abbott,"Ambac Financial Group, Inc",Data Analytics,"New York, NY",2023
78,Senior Business Data Analyst,Data Analyst,Akro IT Technologies,LeChase Construction,Data Analytics,"New York, NY",2024
79,Data Analyst,Senior Data Analyst,GEICO,PenFred Credit Union,Data Analytics,,2022
80,,Data Analyst,,,Data Analytics,,2021
81,Risk Data Analyst,Data Analyst,Hankey Group,Byte2AI,Data Analytics,"Los Angeles, CA",2023
82,Technical Product Marketing Manager,Data Analyst,Supervised,d-Matrix,Data Analytics,"San Francisco, CA",2025
83,IT Consultant,Data Scientist - Data Analyst,Naresh Arora & Gulrajani,Springboard,Data Science & Analytics,,2023
84,Research Assistant,Business Analyst Student,Kyungsung University,Trine University,Data Analytics,"Detroit, MI",2023
85,Data Engineer,Data Analyst,Vistra Energy,Humana,Data Analytics,,2021
86,Data Analyst,Data Analyst,Bank of America,IQVIA,Data Analytics,"Phoenix, AZ",2022
87,,Data Analyst,,JoulestoWatts Business Solutions,Data Analytics,,2019
88,Research Assistant,Data Analyst,Texas Tech University,Royal Caribbean Group,Data Analytics,"Miami, FL",2024
89,Q&A Expert,Data Scientist,Course Hero,Upwork,Data Science,,2023
90,Staff Accountant,Data Analyst,US Exp Trucking Incorporated,Mintrans Incorporated,Data Analytics,"Chicago, IL",2023
91,Data Analyst,Population Health Data Analyst,Advanced Health Technology Solutions,Advocare,Data Analytics,"New Jersey, NJ",2023
92,Product Analyst,Data Analyst,MTS Group,Sberbank,Data Analytics,,2024
93,Data Analyst,Business Data Analyst,Altoni Enterprise,Bluelith Energy,Data Analytics,,2023
94,Senior Data Analyst,Lead Data Analyst,BMO U.S,Iksula,Data Analytics,,2025
95,Data Processor,Data Scientist,Outlier,Trintech,Data Science,,2025
96,Senior Data Analyst,Data Analyst,Accenture,The Cigna Group,Data Analytics,,2023
97,Data Analyst,Data Analyst,GRABTHESITE,J.P. Morgan,Data Analytics,"Dallas, TX",2024
98,Data Analyst,Financial Data Analyst,HCLTech,Cigna Healthcare,Data Analytics,,2024
99,Marketing Intelligence Capstone Project,Data Analyst,7-Eleven,7-Eleven,Data Analytics,,2024
100,Independent Business Owner,Data Analyst,Printstant Designs,Quote Now Apps,Data Analytics,"Louisville, KY",2020
